광역시도,시군구,20-39세계,20-39세남자,20-39세여자,65세 이상계,인구수계,소멸비율,소멸위기지역,소멸위기고위험지역
부산광역시,수영구,47944,23732,24212,36166,174591,0.6695,False,False
부산광역시,연제구,53627,27091,26538,38595,207199,0.6876,False,False
부산광역시,영도구,23103,12545,10558,30089,113043,0.3509,True,False
부산광역시,중구,10011,5197,4814,10430,40446,0.4616,True,False
부산광역시,해운대구,96706,48924,47782,67224,400015,0.7108,False,False
서울특별시,강남구,156053,73037,83016,70008,530126,1.1858,False,False
서울특별시,강동구,129061,64443,64619,65025,441733,0.9938,False,False
서울특별시,강북구,82271,41772,40500,60093,305512,0.674,False,False
서울특별시,강서구,187063,91396,95668,84457,579138,1.1327,False,False
서울특별시,관악구,194638,100403,94236,74422,489799,1.2662,False,False
서울특별시,광진구,118572,57257,61316,47428,343783,1.2928,False,False
서울특별시,구로구,118714,59478,59236,65807,400915,0.9001,False,False
서울특별시,금천구,71700,38053,33649,37128,228342,0.9063,False,False
서울특별시,노원구,138920,70420,68501,81587,522235,0.8396,False,False
서울특별시,도봉구,85633,43763,41870,59158,325050,0.7078,False,False
서울특별시,동대문구,105551,53695,51858,58129,337801,0.8921,False,False
서울특별시,동작구,128785,63797,64988,61506,387859,1.0566,False,False
서울특별시,마포구,125017,58053,66965,50654,365392,1.322,False,False
서울특별시,서대문구,93510,45754,47757,50450,304074,0.9466,False,False
서울특별시,서초구,119306,56033,63275,56204,419614,1.1258,False,False
서울특별시,성동구,94648,46710,47938,42932,291841,1.1166,False,False
서울특별시,성북구,126470,62065,64406,69512,432206,0.9265,False,False
서울특별시,송파구,205917,98737,107181,87862,662838,1.2199,False,False
서울특별시,양천구,118257,59328,58930,62000,450971,0.9505,False,False
서울특별시,영등포구,124515,61671,62844,56298,366258,1.1163,False,False
서울특별시,용산구,70034,34333,35703,35173,219404,1.0151,False,False
서울특별시,은평구,134477,65991,68486,79998,471906,0.8561,False,False
서울특별시,종로구,43061,21327,21736,25597,144866,0.8492,False,False
서울특별시,중구,38455,18864,19592,21878,121520,0.8955,False,False
서울특별시,중랑구,114135,57895,56241,65636,390233,0.8569,False,False
세종특별자치시,세종시,98167,48592,49576,33147,347070,1.4956,False,False
울산광역시,남구,88708,48254,40457,37419,319908,1.0812,False,False
울산광역시,동구,42035,23338,18698,18893,157346,0.9897,False,False
울산광역시,북구,62807,33772,29036,17149,217825,1.6932,False,False
울산광역시,울주군,52979,29036,23945,31575,221860,0.7584,False,False
울산광역시,중구,54835,29638,25197,31785,219176,0.7927,False,False
인천광역시,강화군,10815,5959,4857,22228,68662,0.2185,True,False
인천광역시,계양구,83391,43439,39952,36088,297386,1.1071,False,False
인천광역시,남동구,145481,74883,70599,68239,524803,1.0346,False,False
인천광역시,동구,13856,7432,6425,13723,62324,0.4682,True,False
인천광역시,미추홀구,113178,60312,52867,66281,401346,0.7976,False,False
인천광역시,부평구,140742,72453,68290,70322,497593,0.9711,False,False
인천광역시,서구,153454,78915,74540,55342,539670,1.3469,False,False
인천광역시,연수구,107153,54151,53003,35875,374306,1.4774,False,False
인천광역시,옹진군,4667,3194,1473,5291,20367,0.2784,True,False
인천광역시,중구,39667,20844,18824,19309,135667,0.9749,False,False
전라남도,강진군,5446,2921,2525,11881,34648,0.2125,True,False
전라남도,고흥군,8098,4550,3549,25951,64022,0.1368,True,True
전라남도,곡성군,4263,2307,1958,10089,28267,0.1941,True,True
전라남도,광양시,39931,22291,17641,19642,153640,0.8981,False,False
전라남도,구례군,3887,2084,1805,8741,25985,0.2065,True,False
전라남도,나주시,27023,14174,12851,25388,114376,0.5062,False,False
전라남도,담양군,8667,4869,3799,14070,46034,0.27,True,False
전라남도,목포시,54208,28586,25624,36558,225273,0.7009,False,False
전라남도,무안군,18235,9554,8682,17082,83168,0.5083,False,False
전라남도,보성군,5685,3126,2560,15374,40544,0.1665,True,True
전라남도,순천시,70234,37007,33228,43095,279602,0.771,False,False
전라남도,신안군,5774,3549,2225,14081,39201,0.158,True,True
전라남도,여수시,65443,36049,29396,52858,279854,0.5561,False,False
전라남도,영광군,9993,5396,4600,15196,52970,0.3027,True,False
전라남도,영암군,10064,5638,4427,14080,53651,0.3144,True,False
전라남도,완도군,7981,4510,3472,16025,50007,0.2167,True,False
전라남도,장성군,8299,4699,3604,13109,44715,0.2749,True,False
전라남도,장흥군,6050,3291,2759,12733,37859,0.2167,True,False
전라남도,진도군,4905,2743,2162,10130,30722,0.2134,True,False
전라남도,함평군,4756,2703,2053,11546,32098,0.1778,True,True
전라남도,해남군,10907,5863,5045,21946,69000,0.2299,True,False
전라남도,화순군,11610,6132,5479,16416,62182,0.3338,True,False
전라북도,고창군,8348,4617,3732,18475,54579,0.202,True,False
전라북도,군산시,61125,32637,28489,48768,266687,0.5842,False,False
전라북도,김제시,14113,7700,6415,25757,82405,0.2491,True,False
전라북도,남원시,14155,7554,6603,22274,80654,0.2964,True,False
전라북도,덕진구,85159,44114,41045,43137,315225,0.9515,False,False
전라북도,무주군,3591,1976,1615,7950,24069,0.2031,True,False
전라북도,부안군,8417,4619,3800,17061,52251,0.2227,True,False
전라북도,순창군,4243,2189,2056,9330,27930,0.2204,True,False
전라북도,완산구,88971,45677,43295,52054,337634,0.8317,False,False
전라북도,완주군,18698,9978,8722,20798,91372,0.4194,True,False
전라북도,익산시,65967,35263,30705,54379,283174,0.5646,False,False
전라북도,임실군,4387,2476,1912,9834,27928,0.1944,True,True
전라북도,장수군,3345,1807,1540,7397,22159,0.2082,True,False
전라북도,정읍시,19791,10703,9088,29484,108474,0.3082,True,False
전라북도,진안군,3712,1964,1749,8706,25361,0.2009,True,False
제주특별자치도,서귀포시,39418,20467,18952,34153,180430,0.5549,False,False
제주특별자치도,제주시,125959,65081,60878,67662,486839,0.8997,False,False
충청남도,계룡시,9618,5057,4561,4911,42707,0.9287,False,False
충청남도,공주시,21344,11601,9744,26790,104677,0.3637,True,False
충청남도,금산군,8019,4415,3606,15693,51373,0.2298,True,False
충청남도,논산시,22593,12305,10290,30245,116626,0.3402,True,False
충청남도,당진시,39714,22741,16973,30399,165750,0.5583,False,False
충청남도,동남구,69089,36401,32688,35681,256758,0.9161,False,False
충청남도,보령시,19330,10888,8443,25346,99853,0.3331,True,False
충청남도,부여군,10100,5680,4421,22164,65431,0.1995,True,True
충청남도,서북구,131984,69582,62402,33268,394727,1.8757,False,False
충청남도,서산시,41640,23634,18008,31571,174315,0.5704,False,False
충청남도,서천군,7565,4317,3248,18551,51821,0.1751,True,True
충청남도,아산시,85688,46355,39333,40747,313250,0.9653,False,False
충청남도,예산군,13242,7406,5837,23994,78072,0.2433,True,False
충청남도,청양군,4931,2818,2113,10851,31134,0.1947,True,True
충청남도,태안군,10451,5982,4471,18864,62051,0.237,True,False
충청남도,홍성군,20483,10932,9551,23306,99547,0.4098,True,False
충청북도,괴산군,6048,3483,2567,12747,38968,0.2014,True,False
충청북도,단양군,4411,2480,1931,8752,29143,0.2206,True,False
충청북도,보은군,4706,2660,2047,10967,32403,0.1867,True,True
충청북도,상당구,45413,23876,21537,28094,183083,0.7666,False,False
충청북도,서원구,52446,27705,24741,28508,197773,0.8679,False,False
충청북도,영동군,8038,4375,3663,14708,47737,0.249,True,False
충청북도,옥천군,8472,4635,3839,14710,50381,0.261,True,False
충청북도,음성군,19630,11185,8445,19252,93181,0.4387,True,False
충청북도,제천시,28234,15216,13018,28247,132883,0.4609,True,False
충청북도,증평군,9381,5305,4077,6236,36893,0.6538,False,False
충청북도,진천군,20447,11435,9013,13290,81958,0.6782,False,False
충청북도,청원구,58449,31789,26661,23978,194256,1.1119,False,False
충청북도,충주시,47962,26670,21293,40566,209084,0.5249,False,False
충청북도,흥덕구,81443,43471,37975,28478,262632,1.3335,False,False
