ID,광역시도,시군구,20-39세계,20-39세남자,20-39세여자,65세 이상계,인구수계,소멸비율,소멸위기지역,소멸위기고위험지역,y,x,20-30대 성비율
서울 성북,서울특별시,성북구,126470,62065,64406,69512,432206,0.9265,0,0,3,6,0.037718520905502206
서울 송파,서울특별시,송파구,205917,98737,107181,87862,662838,1.2199,0,0,6,8,0.08552011910428714
서울 양천,서울특별시,양천구,118257,59328,58930,62000,450971,0.9505,0,0,6,4,-0.006708468176914728
서울 영등포,서울특별시,영등포구,124515,61671,62844,56298,366258,1.1163,0,0,7,5,0.01902028506104969
서울 용산,서울특별시,용산구,70034,34333,35703,35173,219404,1.0151,0,0,6,6,0.039903300032039235
서울 은평,서울특별시,은평구,134477,65991,68486,79998,471906,0.8561,0,0,4,4,0.03780818596475277
서울 종로,서울특별시,종로구,43061,21327,21736,25597,144866,0.8492,0,0,4,6,0.019177568340601026
서울 중구,서울특별시,중구,38455,18864,19592,21878,121520,0.8955,0,0,5,6,0.03859202714164556
서울 중랑,서울특별시,중랑구,114135,57895,56241,65636,390233,0.8569,0,0,4,8,-0.028568961050177033
세종,세종특별자치시,세종시,98167,48592,49576,33147,347070,1.4956,0,0,13,4,0.020250246954231166
울산 남구,울산광역시,남구,88708,48254,40457,37419,319908,1.0812,0,0,15,12,-0.16158245948522398
울산 동구,울산광역시,동구,42035,23338,18698,18893,157346,0.9897,0,0,14,12,-0.19881737938126665
울산 북구,울산광역시,북구,62807,33772,29036,17149,217825,1.6932,0,0,13,12,-0.1402345137984129
울산 울주,울산광역시,울주군,52979,29036,23945,31575,221860,0.7584,0,0,14,11,-0.17533406805345086
울산 중구,울산광역시,중구,54835,29638,25197,31785,219176,0.7927,0,0,15,11,-0.14984141979890686
인천 강화,인천광역시,강화군,10815,5959,4857,22228,68662,0.2185,1,0,5,1,-0.18493035744252395
인천 계양,인천광역시,계양구,83391,43439,39952,36088,297386,1.1071,0,0,7,2,-0.08027348695872372
인천 남동,인천광역시,남동구,145481,74883,70599,68239,524803,1.0346,0,0,10,2,-0.057209246424422044
인천 동구,인천광역시,동구,13856,7432,6425,13723,62324,0.4682,1,0,6,2,-0.1354951560818084
인천 미추홀,인천광역시,미추홀구,113178,60312,52867,66281,401346,0.7976,0,0,9,2,-0.12344143785647965
인천 부평,인천광역시,부평구,140742,72453,68290,70322,497593,0.9711,0,0,8,2,-0.05745793824962386
인천 서구,인천광역시,서구,153454,78915,74540,55342,539670,1.3469,0,0,6,1,-0.05543939681936261
인천 연수,인천광역시,연수구,107153,54151,53003,35875,374306,1.4774,0,0,10,1,-0.021199977839744366
인천 옹진,인천광역시,옹진군,4667,3194,1473,5291,20367,0.2784,1,0,10,0,-0.5388227927363807
