상호,주소,가격,셀프,상표,구
(주)장수주유소,서울 광진구 동일로 266 (군자동),1769,Y,SK에너지,광진구
용마주유소,서울 광진구 용마산로 68 (중곡동),1769,N,GS칼텍스,광진구
HD현대오일뱅크㈜직영 중원셀프주유소,서울 광진구 동일로 398 (중곡동),1772,Y,HD현대오일뱅크,광진구
HD현대오일뱅크㈜직영 중곡현대주유소,서울 광진구 동일로 435 (중곡동),1772,Y,HD현대오일뱅크,광진구
HD현대오일뱅크㈜직영 장호셀프주유소,서울 광진구 자양로 37 (자양동),1779,Y,HD현대오일뱅크,광진구
정해네트웍스(주)일진주유소,서울 광진구 동일로 413 (중곡동),1787,Y,S-OIL,광진구
유니스에너지 자양주유소,서울 광진구 아차산로 298 (자양동),1878,N,SK에너지,광진구
삼호주유소,서울 광진구 천호대로 809 (광장동),1897,Y,S-OIL,광진구
강평주유소,서울 광진구 아차산로 616 (광장동),1947,N,SK에너지,광진구
㈜자연에너지 고척주유소,서울 구로구 고척로 199 (고척동),1729,Y,HD현대오일뱅크,구로구
(주)한미석유구로그린주유소,서울 구로구 구로중앙로 76 (구로동),1746,Y,GS칼텍스,구로구
신성주유소,서울 구로구 구로동로 187 (구로제2동),1757,Y,HD현대오일뱅크,구로구
남선석유(주)풀페이주유소,서울 구로구 경인로 41 (온수동),1759,Y,S-OIL,구로구
서서울고속주유소,서울 구로구 경인로 150 (오류동),1759,Y,SK에너지,구로구
극동유화(주) 항동주유소,서울 구로구 서해안로 2154 (항동),1759,Y,S-OIL,구로구
SK구로주유소,서울 구로구 구일로 94 (구로동),1774,N,SK에너지,구로구
구인주유소,서울 구로구 경인로 558 (구로동),1774,N,SK에너지,구로구
HD현대오일뱅크㈜직영 구로셀프주유소,서울 구로구 시흥대로 531,1779,Y,HD현대오일뱅크,구로구
HD현대오일뱅크㈜직영 신오류주유소,서울 구로구 경인로 161 (오류동),1787,N,HD현대오일뱅크,구로구
개봉주유소,서울 구로구 고척로 115 (개봉동),1797,Y,HD현대오일뱅크,구로구
대성산업(주)디큐브주유소,서울 구로구 경인로 650 (신도림동),1799,N,GS칼텍스,구로구
HD현대오일뱅크㈜직영 신구로주유소,서울 구로구 가마산로 293 (구로동),1799,N,HD현대오일뱅크,구로구
SK에너지(주)직영 개봉동주유소,서울 구로구 경인로 290 (개봉동),1812,N,SK에너지,구로구
대원셀프주유소,서울 구로구 개봉로 7,1837,Y,HD현대오일뱅크,구로구
영진주유소,서울 구로구 구로동로 20 (가리봉동),1869,N,S-OIL,구로구
JHC에너지,서울 구로구 시흥대로 539,1875,N,HD현대오일뱅크,구로구
동아주유소,서울 구로구 도림로 91 (구로동),1998,N,S-OIL,구로구
구로주유소,서울 구로구 구로동로 137 (구로동),2340,N,GS칼텍스,구로구
구광주유소,서울 금천구 서부샛길 674 (가산동),1765,N,S-OIL,금천구
대득에너지(금천셀프주유소),서울 금천구  시흥대로 81 (시흥동),1785,Y,GS칼텍스,금천구
