제목,저자,역자,출간일,페이지수,가격
한번에 적용하는 분석,히든그레이스 데이터분석팀, ,2021-10-08,356,24000
인공지능 논리 입문,이은정, ,2021-09-10,260,22000
"IT CookBook, 처음 만나는 전기기기(2판)","최은혁, 박숭규", ,2021-08-31,328,24000
"IT CookBook, 현대 센서공학(5판)",Jacob Fraden,"김윤, 김혁, 박동욱",2021-08-27,688,35000
"IT CookBook, 모바일 웹 서비스 구현을 위한 JSP 웹 프로그래밍","김현규, 박유현", ,2021-08-23,660,30000
미래조직을 위한 조직설계의 이해(4판),"현선해, 최세경, 서문교", ,2021-08-13,292,22000
쉽게 배우고 익히는 회계원리(4판),"정용기, 김선미, 임영제, 신영직, 유지선", ,2021-08-13,568,30000
쉽게 배우고 익히는 회계원리[객관식/학습문제 해답](4판),"정용기, 김선미, 임영제, 신영직, 유지선", ,2021-08-13,160,7000
"IT CookBook, 짧고 굵게 배우는 JSP 웹 프로그래밍과 스프링 프레임워크",황희정, ,2021-08-09,472,27000
데이터베이스 시스템(7판),"Abraham Silberschatz, Henry F. Korth, S. Sudarshan","정연돈, 권준호, 김종욱, 서영균, 이동호",2021-08-05,1248,45000
비즈니스 애널리틱스,"Sanjiv Jaggia, Alison Kelly, Kevin Lertwachara, Leida Chen","장혜정, 이상규, 오세환, 변종복",2021-07-20,704,38000
"STEM CookBook, 문제 해결력을 키우는 정역학",오충석, ,2021-07-16,460,30000
최신 관리회계,"정재권, 서한결, 곽종민", ,2021-07-10,460,28000
"IT CookBook, 처음 만나는 회로이론(2판)",방성완, ,2021-07-02,400,23000
안전필수 시스템 제어 설계,"김국헌, 김태효, 이성섭", ,2021-07-02,488,38000
"IT CookBook, C로 배우는 쉬운 자료구조(4판)",이지영, ,2021-06-30,624,29000
"IT CookBook, 디지털 콘텐츠 기획(2판)",김성은, ,2021-06-30,548,30000
"IT CookBook, 쉽게 배우는 소프트웨어 공학(2판)",김치수, ,2021-06-30,560,30000
"IT CookBook, 컴퓨터 구조와 원리 3.0",신종홍, ,2021-06-30,580,29000
"IT CookBook, 난생처음 파이썬 프로그래밍","우재남, 최민아", ,2021-06-28,428,24000
"IT CookBook, 정보 보안 개론(4판)",양대일, ,2021-06-28,568,30000
"IT CookBook, 최신 기술 동향으로 알아보는 ICT와 4차 산업혁명","김용태, 정윤수, 박길철", ,2021-06-28,472,24000
"STEM CookBook, 한 걸음씩 알아가는 선형대수학",Kuldeep Singh,한빛수학교재연구소,2021-06-28,580,32000
"STEM CookBook, 해석학 첫걸음",스티븐 애벗(Stephen Abbott),"한빛수학교재연구소, 김세익(감수)",2021-06-28,384,26000
"IT CookBook, 익스플로링 아두이노(2판)",JEREMY BLUM,허경용,2021-06-21,480,32000
"IT CookBook, 난생처음 인공지능 입문",서지영, ,2021-06-18,428,25000
제대로 작성하는 논문 : 시작부터 마무리까지,"노경섭, 김정욱", ,2021-06-14,288,20000
수학이 외계어처럼 들리는 이공계생을 위한 제로 수학,"김우섭(소동), 강민범", ,2021-06-10,416,22000
